                                                                            Episode  Line  Dialogue  Action
Character                                                                                                  
                                                                            1965     1965  1965      1965  
2 wizards                                                                   1        1     1         1     
a goblin                                                                    1        1     1         1     
a worm                                                                      1        1     1         1     
ab demon                                                                    2        2     2         2     
abe lincoln                                                                 11       11    11        11    
abracadaniel                                                                73       73    73        73    
achillea                                                                    1        1     1         1     
agnes                                                                       3        3     3         3     
alarm clock with a headshot of princess bubblegum taped to the minute handall                                                                         5        5     5         5     
all 3 goblins                                                               1        1     1         1     
all bmos                                                                    1        1     1         1     
all demons                                                                  1        1     1         1     
all knights                                                                 1        1     1         1     
all the animals                                                             8        8     8         8     
all the other animals                                                       1        1     1         1     
all the suitors                                                             1        1     1         1     
all three goblins                                                           1        1     1         1     
allmo                                                                       16       16    16        16    
allmo (flashback)                                                           1        1     1         1     
allmo (vo)                                                                  1        1     1         1     
alpha hug wolf                                                              4        4     4         4     
amazonia                                                                    1        1     1         1     
amo                                                                         11       11    11        11    
amo (vo)                                                                    3        3     3         3     
ancient psychic tandem war elephant                                         22       22    22        22    
ancient sleeping magi of life giving                                        34       34    34        34    
ann                                                                         5        5     5         5     
another candy person                                                        1        1     1         1     
another fat villager                                                        1        1     1         1     
another goblin                                                              2        2     2         2     
another hooligan                                                            1        1     1         1     
ant                                                                         3        3     3         3     
antelope                                                                    1        1     1         1     
apple merchant                                                              4        4     4         4     
apples                                                                      1        1     1         1     
aquandrius                                                                  7        7     7         7     
armadillo                                                                   2        2     2         2     
ash                                                                         23       23    23        23    
astral mr. fox                                                              4        4     4         4     
audience                                                                    14       14    14        14    
audience member                                                             1        1     1         1     
b.p. [voiceover]                                                            3        3     3         3     
baby                                                                        11       11    11        11    
baby birds                                                                  1        1     1         1     
baby cuber                                                                  1        1     1         1     
baby finn                                                                   6        6     6         6     
baby finns                                                                  1        1     1         1     
baby snaps                                                                  2        2     2         2     
backrubbers                                                                 2        2     2         2     
balloons                                                                    3        3     3         3     
balthus                                                                     3        3     3         3     
banana man                                                                  30       30    30        30    
bandit butterfly                                                            2        2     2         2     
bank house                                                                  2        2     2         2     
barb                                                                        22       22    22        22    
barn house                                                                  1        1     1         1     
bartender                                                                   7        7     7         7     
baskets & boots owner                                                       1        1     1         1     
bath boy                                                                    4        4     4         4     
bath boy gang leader [flashback]                                            1        1     1         1     
bazooka goblin                                                              1        1     1         1     
bear                                                                        19       19    19        19    
bear in dream                                                               1        1     1         1     
beau                                                                        1        1     1         1     
beautiful lady                                                              2        2     2         2     
bee person                                                                  8        8     8         8     
bee princess                                                                2        2     2         2     
beemo                                                                       1        1     1         1     
bella noche                                                                 7        7     7         7     
bellamy                                                                     1        1     1         1     
bellamy bug                                                                 2        2     2         2     
berdzerd                                                                    1        1     1         1     
beth                                                                        22       22    22        22    
betty                                                                       39       39    39        39    
betty grof                                                                  1        1     1         1     
big clown nurse                                                             2        2     2         2     
big demon                                                                   5        5     5         5     
big destiny                                                                 16       16    16        16    
big guy                                                                     2        2     2         2     
big old woman                                                               1        1     1         1     
bikini babe (green skin;black hair)                                         1        1     1         1     
bikini babe (green skin;brown hair)                                         1        1     1         1     
billy                                                                       39       39    39        39    
bird                                                                        4        4     4         4     
bird 1                                                                      1        1     1         1     
bird 2                                                                      1        1     1         1     
bird woman                                                                  30       30    30        30    
black-haired witch                                                          1        1     1         1     
blargetha                                                                   12       12    12        12    
blombo                                                                      3        3     3         3     
blonde witch                                                                1        1     1         1     
