                                                                            Episode  Line  Dialogue  Action
Character                                                                                                  
                                                                            1965     1965  1965      1965  
agnes                                                                       3        3     3         3     
all bmos                                                                    1        1     1         1     
ann                                                                         5        5     5         5     
apple merchant                                                              4        4     4         4     
apples                                                                      1        1     1         1     
aquandrius                                                                  7        7     7         7     
armadillo                                                                   2        2     2         2     
ash                                                                         23       23    23        23    
astral mr. fox                                                              4        4     4         4     
b.p. [voiceover]                                                            3        3     3         3     
baby                                                                        11       11    11        11    
baby finn                                                                   6        6     6         6     
baby finns                                                                  1        1     1         1     
baby snaps                                                                  2        2     2         2     
backrubbers                                                                 2        2     2         2     
balloons                                                                    3        3     3         3     
balthus                                                                     3        3     3         3     
banana man                                                                  30       30    30        30    
bandit butterfly                                                            2        2     2         2     
barb                                                                        22       22    22        22    
bartender                                                                   7        7     7         7     
bear                                                                        19       19    19        19    
bear in dream                                                               1        1     1         1     
beau                                                                        1        1     1         1     
bella noche                                                                 7        7     7         7     
berdzerd                                                                    1        1     1         1     
big clown nurse                                                             2        2     2         2     
big destiny                                                                 16       16    16        16    
bird woman                                                                  30       30    30        30    
blargetha                                                                   12       12    12        12    
blombo                                                                      3        3     3         3     
blue bmo                                                                    1        1     1         1     
bmo & bubble                                                                1        1     1         1     
bob                                                                         18       18    18        18    
bob and ethel                                                               1        1     1         1     
boilbee                                                                     7        7     7         7     
boney                                                                       9        9     9         9     
bonnie                                                                      4        4     4         4     
boobafina                                                                   8        8     8         8     
boobafina and mr. fox                                                       1        1     1         1     
booboo                                                                      9        9     9         9     
book                                                                        2        2     2         2     
booko                                                                       2        2     2         2     
boss                                                                        12       12    12        12    
both finn and jake                                                          1        1     1         1     
both prismo and jake                                                        1        1     1         1     
both finn and jake                                                          1        1     1         1     
braco                                                                       45       45    45        45    
braco's father                                                              1        1     1         1     
brad                                                                        2        2     2         2     

breezy                                                                      27       27    27        27    
bubble                                                                      36       36    36        36    
bubble/air                                                                  1        1     1         1     
bubblegum                                                                   11       11    11        11    
buck pudding                                                                5        5     5         5     
bufo                                                                        43       43    43        43    
bus                                                                         1        1     1         1     
bush                                                                        7        7     7         7     
cake                                                                        48       48    48        48    
canyon                                                                      14       14    14        14    
carla                                                                       2        2     2         2     
carroll                                                                     13       13    13        13    
